ref_des,comp_type,package,net_name,operating_voltage,rated_voltage,clearance_mm
C101,CAP_CERAMIC,0603,VCC_3V3,3.3,6.3,0.22
C102,CAP_TANTALUM,1206,VCC_12V,12.0,16.0,0.2
C103,CAP_CERAMIC,0402,VCC_1V8,1.8,6.3,0.18
C104,CAP_ELECTRO,CASE_D,HIGH_VOLT_48V,46.5,50.0,0.18
R201,RES_CHIP,0603,SDA_I2C,3.3,50.0,0.25
R202,RES_CHIP,0603,SCL_I2C,3.3,50.0,0.25
R203,RES_PRECISION,0805,SHUNT_SENSE,12.0,100.0,0.3
U301,IC_DSP_CORE,BGA256,VDD_CORE,1.0,1.2,0.16
U302,IC_LDO_REG,SOT223,VCC_5V,5.0,6.0,0.28
D401,DIODE_SCHOTTKY,SOD123,POWER_INPUT,24.0,40.0,0.16
D402,DIODE_TVS,SMA,SURGE_PROTECT,12.0,28.0,0.35
L501,INDUCTOR_POWER,IND_7X7,SW_NODE,12.0,50.0,0.4
Q601,MOSFET_N_CH,SO8,POWER_DRV,36.0,40.0,0.2
